,betaInP,omega,gen,w,dist
0,0.6044316855210531,0.01712799281700217,0,0.002,3445698
0,0.9696557334647844,0.009141059660475214,0,0.002,1777088
0,0.5796024016918632,0.08530373153228316,0,0.002,19094441
0,0.9044659862207404,0.08040261483707922,0,0.002,18636000
0,0.27168811453048036,0.08145562220959315,0,0.002,18129934
0,0.39493832110872085,0.05981655798636343,0,0.002,14110243
0,0.03642020623800546,0.03726007043638934,0,0.002,8571942
0,0.37100804786404773,0.06204998330946191,0,0.002,14806390
0,0.7109262892772644,0.08615775306222279,0,0.002,19401480
0,0.27955481171093577,0.06670961554388911,0,0.002,15571388
0,0.8600126987406909,0.09791271186121403,0,0.002,21105850
0,0.5034153223024848,0.0852524616034993,0,0.002,19021241
0,0.540531893787129,0.03492352524567138,0,0.002,8267152
0,0.38391991600207465,0.0038803665162491455,0,0.002,882790
0,0.959549744856287,0.08120418634278256,0,0.002,18645919
0,0.5181774312569578,0.06786909914984444,0,0.002,16027167
0,0.41754029604315956,0.05297693752620907,0,0.002,12705487
0,0.8306992179063709,0.036210834855889766,0,0.002,8686231
0,0.03961153408942564,0.0709171009358494,0,0.002,16006474
0,0.22001635270931263,0.025818601988641235,0,0.002,5758903
0,0.00824645925602463,0.017629274755017212,0,0.002,3340089
0,0.945511754688542,0.0026380497257421087,0,0.002,878412
0,0.13917909954182495,0.03236840794784085,0,0.002,7422220
0,0.9950174052937162,0.03816357952521676,0,0.002,9479955
0,0.5505932164231534,0.09932922262698529,0,0.002,20928610
0,0.8358668989363199,0.00026011926909562665,0,0.002,893458
0,0.9601559185333322,0.0076654448747641825,0,0.002,1459451
0,0.7187996622481461,0.0066589915581539375,0,0.002,1304091
0,0.2843411501798462,0.08199775947548027,0,0.002,18117038
0,0.23063792288450025,0.09596958281356333,0,0.002,19973544
0,0.24549535862152494,0.05698440005997288,0,0.002,13370717
0,0.07259328518926633,0.007934926233671757,0,0.002,1365739
0,0.7703373272888251,0.0469707654784897,0,0.002,11521131
0,0.481199681314881,0.06673943541262335,0,0.002,15609772
0,0.7245656516718476,0.05584357762269915,0,0.002,13732396
0,0.13878940591296884,0.06760439617072268,0,0.002,15486580
0,0.15925884340743535,0.02934098609986382,0,0.002,6504631
0,0.788488583948209,0.04613768949486513,0,0.002,11298686
