,holding_id,destination,distance,originID,destID,size_origin,size_destination
131,35331122,35340141,11884,52,71,184,192
132,35188059,35340141,11489,53,71,288,192
133,35340065,35340141,4086,54,71,449,192
134,35331074,35340141,9540,56,71,234,192
135,35133395,35340141,3493,57,71,344,192
136,35133336,35340141,7076,58,71,1870,192
137,35133314,35340141,3619,60,71,994,192
138,35133026,35340141,7297,61,71,130,192
139,35133339,35340141,12086,62,71,223,192
140,35331018,35340141,10049,63,71,103,192
141,35331067,35340141,11688,64,71,184,192
142,35133170,35340141,14699,66,71,137,192
143,35133293,35340141,7592,67,71,193,192
144,35133227,35340141,13330,68,71,23,192
145,35133372,35340141,10056,69,71,128,192
146,35133418,35340141,14759,70,71,5,192
147,35340141,35340141,0,71,71,192,192
148,35340079,35340141,1335,72,71,260,192
149,35133038,35340141,10785,73,71,469,192
150,35133340,35340141,13919,74,71,271,192
151,35133033,35340141,11220,75,71,450,192
152,35331014,35340141,11597,76,71,361,192
153,35133346,35340141,11431,80,71,489,192
154,35133046,35340141,8759,81,71,106,192
155,35188048,35340141,12878,82,71,10,192
156,35305165,35340141,1878,83,71,236,192
157,35133364,35340141,10906,85,71,180,192
158,35133039,35340141,9857,86,71,284,192
159,35133012,35340141,4772,88,71,74,192
160,35133200,35340141,6272,89,71,305,192
161,35133254,35340141,8311,90,71,161,192
162,35133165,35340141,6808,92,71,13,192
163,35331010,35340141,11553,93,71,237,192
164,35133389,35340141,10188,95,71,291,192
165,35133355,35340141,8503,96,71,17,192
166,35331005,35340141,11129,97,71,129,192
167,35133344,35340141,5223,98,71,87,192
168,35133394,35340141,5770,99,71,333,192
169,35340078,35340141,1742,101,71,301,192
170,35133049,35340141,12493,102,71,219,192
171,35331089,35340141,9002,103,71,3,192
172,35133379,35340141,14301,104,71,519,192
173,35331095,35340141,12485,105,71,3,192
174,35133331,35340141,11895,106,71,162,192
175,35331004,35340141,10805,107,71,267,192
176,35133058,35340141,10747,108,71,169,192
177,35340012,35340141,4451,109,71,640,192
178,35133009,35340141,11314,110,71,237,192
179,35133390,35340141,11006,111,71,103,192
180,35133387,35133229,1222,0,19,2,101
181,35331013,35133229,8990,1,19,88,101
182,35171272,35133229,13602,2,19,85,101
183,35340004,35133229,13648,3,19,499,101
184,35171134,35133229,12529,4,19,213,101
185,35133024,35133229,0,5,19,126,101
186,35133089,35133229,2164,6,19,160,101
187,35133186,35133229,3793,7,19,309,101
188,35133375,35133229,5145,8,19,211,101
189,35331130,35133229,9610,9,19,64,101
190,35133382,35133229,5646,10,19,265,101
191,35171192,35133229,13022,11,19,69,101
192,35133356,35133229,8958,12,19,74,101
193,35171235,35133229,14829,13,19,517,101
194,35340005,35133229,14887,14,19,402,101
195,35331008,35133229,11449,15,19,150,101
196,35133061,35133229,4402,16,19,34,101
197,35171135,35133229,13753,17,19,126,101
198,35133371,35133229,1317,18,19,258,101
199,35133229,35133229,0,19,19,101,101
200,35133220,35133229,1300,20,19,121,101
201,35133057,35133229,8672,21,19,322,101
202,35133029,35133229,7775,22,19,590,101
203,35331036,35133229,8320,23,19,9,101
204,35133048,35133229,8672,24,19,1181,101
205,35331082,35133229,10591,25,19,152,101
206,35133380,35133229,5137,26,19,250,101
207,35188007,35133229,5229,27,19,102,101
208,35331077,35133229,5888,28,19,221,101
209,35331028,35133229,6880,29,19,6,101
210,35340003,35133229,11527,30,19,1029,101
211,35171048,35133229,11324,31,19,251,101
212,35171060,35133229,13001,32,19,800,101
213,35331012,35133229,7051,33,19,386,101
214,35133044,35133229,1329,34,19,146,101
215,35133168,35133229,3616,35,19,54,101
216,35133014,35133229,2848,36,19,206,101
217,35133292,35133229,9925,37,19,140,101
218,35340094,35133229,12745,38,19,1200,101
219,35331084,35133229,9791,39,19,166,101
220,35305149,35133229,11431,40,19,321,101
221,35331086,35133229,7058,41,19,2,101
222,35171240,35133229,13972,42,19,283,101
223,35133360,35133229,8797,44,19,213,101
224,35171063,35133229,12359,45,19,273,101
225,35171038,35133229,14192,46,19,167,101
226,35133075,35133229,834,47,19,210,101
227,35133388,35133229,8089,48,19,8,101
228,35133273,35133229,4482,49,19,50,101
229,35133310,35133229,1317,50,19,227,101
230,35340139,35133229,11713,51,19,2,101
231,35331122,35133229,5684,52,19,184,101
232,35188059,35133229,4328,53,19,288,101
233,35340065,35133229,12424,54,19,449,101
234,35331074,35133229,8423,56,19,234,101
235,35133395,35133229,8672,57,19,344,101
236,35133336,35133229,5089,58,19,1870,101
237,35133314,35133229,8956,60,19,994,101
238,35133026,35133229,6976,61,19,130,101
239,35133339,35133229,3780,62,19,223,101
240,35331018,35133229,11085,63,19,103,101
241,35331067,35133229,11300,64,19,184,101
242,35171208,35133229,10630,65,19,107,101
243,35133170,35133229,2957,66,19,137,101
244,35133293,35133229,6813,67,19,193,101
245,35133227,35133229,1363,68,19,23,101
246,35133372,35133229,2126,69,19,128,101
247,35133418,35133229,2719,70,19,5,101
248,35340141,35133229,12144,71,19,192,101
249,35340079,35133229,11620,72,19,260,101
250,35133038,35133229,4517,73,19,469,101
251,35133340,35133229,1775,74,19,271,101
252,35133033,35133229,997,75,19,450,101
253,35331014,35133229,9573,76,19,361,101
254,35171250,35133229,14671,77,19,196,101
255,35171008,35133229,11902,78,19,214,101
256,35171159,35133229,14410,79,19,1031,101
257,35133346,35133229,1547,80,19,489,101
258,35133046,35133229,3616,81,19,106,101
259,35188048,35133229,1963,82,19,10,101
260,35305165,35133229,12466,83,19,236,101
261,35171241,35133229,13198,84,19,840,101
262,35133364,35133229,3422,85,19,180,101
263,35133039,35133229,2293,86,19,284,101
264,35171160,35133229,12358,87,19,284,101
265,35133012,35133229,8648,88,19,74,101
266,35133200,35133229,7524,89,19,305,101
267,35133254,35133229,5398,90,19,161,101
268,35171056,35133229,14500,91,19,1,101
269,35133165,35133229,6372,92,19,13,101
270,35331010,35133229,8787,93,19,237,101
271,35171283,35133229,13022,94,19,150,101
272,35133389,35133229,3317,95,19,291,101
273,35133355,35133229,5356,96,19,17,101
274,35331005,35133229,6111,97,19,129,101
275,35133344,35133229,8210,98,19,87,101
276,35133394,35133229,7776,99,19,333,101
277,35340078,35133229,11307,101,19,301,101
278,35133049,35133229,1541,102,19,219,101
279,35331089,35133229,5703,103,19,3,101
280,35133379,35133229,2257,104,19,519,101
281,35331095,35133229,11736,105,19,3,101
282,35133331,35133229,1990,106,19,162,101
283,35331004,35133229,7814,107,19,267,101
284,35133058,35133229,5264,108,19,169,101
285,35340012,35133229,12034,109,19,640,101
286,35133009,35133229,3460,110,19,237,101
287,35133390,35133229,1459,111,19,103,101
288,35133081,35133229,3238,112,19,1,101
289,35133387,35133186,4660,0,7,2,309
290,35331013,35133186,11791,1,7,88,309
291,35171272,35133186,12852,2,7,85,309
292,35340004,35133186,13731,3,7,499,309
293,35171134,35133186,11772,4,7,213,309
294,35133024,35133186,3793,5,7,126,309
295,35133089,35133186,3677,6,7,160,309
296,35133186,35133186,0,7,7,309,309
297,35133375,35133186,2878,8,7,211,309
298,35331130,35133186,12465,9,7,64,309
299,35133382,35133186,7495,10,7,265,309
300,35171192,35133186,11534,11,7,69,309
301,35133356,35133186,7839,12,7,74,309
302,35171235,35133186,13480,13,7,517,309
303,35340005,35133186,14881,14,7,402,309
304,35331008,35133186,14012,15,7,150,309
305,35133061,35133186,2367,16,7,34,309
306,35171135,35133186,12432,17,7,126,309
307,35133371,35133186,4301,18,7,258,309
308,35133229,35133186,3793,19,7,101,309
309,35133220,35133186,4421,20,7,121,309
310,35133057,35133186,8374,21,7,322,309
311,35133029,35133186,3981,22,7,590,309
312,35331036,35133186,11158,23,7,9,309
313,35133048,35133186,8374,24,7,1181,309
314,35331082,35133186,13626,25,7,152,309
315,35133380,35133186,2534,26,7,250,309
316,35188007,35133186,8770,27,7,102,309
317,35331077,35133186,9109,28,7,221,309
318,35331028,35133186,9843,29,7,6,309
319,35340003,35133186,11403,30,7,1029,309
320,35171048,35133186,9893,31,7,251,309
321,35171060,35133186,12109,32,7,800,309
322,35331012,35133186,9305,33,7,386,309
323,35133044,35133186,2814,34,7,146,309
324,35133168,35133186,3572,35,7,54,309
325,35133014,35133186,3717,36,7,206,309
326,35133292,35133186,8089,37,7,140,309
327,35340094,35133186,12378,38,7,1200,309
328,35331084,35133186,12748,39,7,166,309
329,35305149,35133186,10657,40,7,321,309
330,35331086,35133186,9182,41,7,2,309
331,35171240,35133186,12818,42,7,283,309
332,35133360,35133186,7039,44,7,213,309
333,35171063,35133186,10873,45,7,273,309
334,35171038,35133186,13231,46,7,167,309
335,35133075,35133186,4432,47,7,210,309
336,35133388,35133186,8815,48,7,8,309
337,35133273,35133186,3761,49,7,50,309
338,35133310,35133186,4301,50,7,227,309
339,35340139,35133186,12174,51,7,2,309
340,35331122,35133186,9141,52,7,184,309
341,35188059,35133186,7768,53,7,288,309
342,35340065,35133186,13245,54,7,449,309
343,35171193,35133186,14380,55,7,211,309
344,35331074,35133186,11104,56,7,234,309
345,35133395,35133186,8374,57,7,344,309
346,35133336,35133186,5736,58,7,1870,309
347,35171020,35133186,13857,59,7,2,309
348,35133314,35133186,9379,60,7,994,309
349,35133026,35133186,8885,61,7,130,309
350,35133339,35133186,343,62,7,223,309
351,35331018,35133186,13663,63,7,103,309
352,35331067,35133186,14225,64,7,184,309
353,35171208,35133186,9735,65,7,107,309
354,35133170,35133186,4000,66,7,137,309
355,35133293,35133186,8837,67,7,193,309
356,35133227,35133186,3659,68,7,23,309
357,35133372,35133186,3477,69,7,128,309
358,35133418,35133186,4568,70,7,5,309
359,35340141,35133186,11745,71,7,192,309
360,35340079,35133186,11639,72,7,260,309
361,35133038,35133186,1184,73,7,469,309
362,35133340,35133186,4588,74,7,271,309
363,35133033,35133186,3302,75,7,450,309
364,35331014,35133186,12657,76,7,361,309
365,35171250,35133186,14439,77,7,196,309
366,35171008,35133186,10901,78,7,214,309
367,35171159,35133186,13174,79,7,1031,309
368,35133346,35133186,2341,80,7,489,309
369,35133046,35133186,3572,81,7,106,309
370,35188048,35133186,5755,82,7,10,309
371,35305165,35133186,11482,83,7,236,309
372,35171241,35133186,12304,84,7,840,309
373,35133364,35133186,948,85,7,180,309
374,35133039,35133186,4032,86,7,284,309
375,35171160,35133186,11859,87,7,284,309
376,35133012,35133186,9636,88,7,74,309
377,35133200,35133186,9028,89,7,305,309
378,35133254,35133186,7580,90,7,161,309
